이름,주소,운영 시간,평점,이미지 주소,SNS 링크,주차 정보,리뷰1,리뷰2,리뷰3,경치가 좋은,넓은,사람 많은,인테리어 예쁜,사진찍기 좋은,조용한
호두방정 롯데백화점 대구점,"대구 중구 태평로 160 161,",운영 시간 정보 없음,평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA2MzBfMjk1%2FMDAxNzE5NzQ2NTUwODcy.YrHCxd3t10ga0nJbdi_vj7yd-f4oNsuln_YgOaEJ208g.6PqnJVB4wHcGCHMSysuBTcpLZPyqKdz0g4AWtBFdSocg.JPEG%2F20240628_124007.jpg.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA2MzBfMjAx%2FMDAxNzE5NzQ2NTUxNTEy.w5Glsawt37EKHZtBJtNmW8W2XLq6VY7iQss3vILmT_sg.CbDAQiECSi_DXHjUYUu5J8D6OC-MZyeK0FezM3sERmkg.JPEG%2F20240628_131651.jpg.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA4MjhfMTMy%2FMDAxNzI0ODM4OTgxNzMw.98H7iG4P0kU8_b2sVIUiPD-4deLm1B2pJv5PM0p_NSgg.eT8lKNWc2VmFlyiu12ImRiGVczfMD-iRE-WPLDdf5fMg.JPEG%2F1000005113.jpg.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA2MzBfMTE2%2FMDAxNzE5NzQ2NTUxODUx.cFzz2R56xVn4KyO7to2arHyHpp86SuMpwkC0ZuLVqIgg.p6p_7RovA4BkFAtysjCxsT8aJ7RZvu2yEiamtYmWVhog.JPEG%2F20240628_124013.jpg.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA2MzBfOTYg%2FMDAxNzE5NzQ2NTUxMzE1.T5oVRzTrd_64LitSzAqt3Xnp2YUqU7pFs59N6hb1PLog.6GBchvoXDrHGgVf_4YDmTftLop3k3buLhmU5gmNTGlYg.JPEG%2F20240628_124214.jpg.jpg""",링크 없음,알 수 없음,,,,0,0,0,0,0,0
샘물,대구 중구 태평로 178-1,운영 시간 정보 없음,평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191106_51%2F1573023274543segXy_JPEG%2FYuXe1XzXNm2EexMbMNEdFpVI.jpg""",링크 없음,알 수 없음,,,,0,0,0,0,0,0
장미다방,대구 중구 태평로 177,운영 시간 정보 없음,평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200712_21%2F1594539787186uiOn0_JPEG%2FF30JZzo0Nr6yWcrFYOGtlHzH.jpg""",링크 없음,알 수 없음,,,,0,0,0,0,0,0
감로700롯데백화점대구점,대구 중구 태평로 161 롯데백화점 대구역,운영 시간 정보 없음,평점 없음,이미지 없음,링크 없음,알 수 없음,,,,0,0,0,0,0,0
버터풀하우스,대구 중구 동성로1길 72 1층 버터풀하우스,"오늘 휴무 매주 월요일 휴무 매주 월요일 휴무, 월 정기휴무 (매주 월요일), 화 11:00 - 22:30 21:00 라스트오더, 수 11:00 - 22:30 21:00 라스트오더, 목 11:00 - 22:30 21:00 라스트오더, 금 11:00 - 22:30 21:00 라스트오더, 토 11:00 - 22:30 21:00 라스트오더, 일 11:00 - 22:30 21:00 라스트오더, - 월요일이 공휴일인 경우 정상 오픈합니다:) 접기",4.79,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240830_52%2F1724982180788NIOGf_JPEG%2F1000025874.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230729_51%2F1690608798919q2UUq_JPEG%2F2023-03-20-12-24-45-131.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240830_8%2F1724981989896GSNDL_JPEG%2F1000025978.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230729_173%2F16906088179061wysz_JPEG%2F2023-03-06-13-04-29-410.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240830_222%2F1724982102617Xglz1_JPEG%2F1000025737.jpg""","""http://www.instagram.com/butterfull_house/""","주차 불가, 주차장 정보 없음",디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,56,30,0,324,207,14
공주당,대구 중구 동성로 6-2,"영업 중 22:00에 영업 종료 22시 0분에 영업 종료, 월 09:00 - 22:00, 화 09:00 - 22:00, 수 09:00 - 22:00, 목 09:00 - 22:00, 금 09:00 - 22:00, 토 09:00 - 22:30, 일 09:00 - 22:30 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231128_291%2F1701172985734ikJOo_JPEG%2FIMG_5072.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231128_10%2F1701172987020Bao4m_JPEG%2FIMG_5009.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230323_189%2F1679552373486Olqck_JPEG%2F9565DC00-0846-4F6D-BC98-36C58B7CF753.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230524_142%2F1684925917003hNCbI_JPEG%2FIMG_0090.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230524_32%2F1684925916754N73oi_JPEG%2FIMG_0044_jpg.jpeg""","""https://www.instagram.com/gong.ju.dang""","주차 불가, 📌가까운 유료주차장 : 거북유료주차장입니다 📌매장 앞은 차 없는 거리로 가게 앞 주차 ❌ 지오다노 골목에 5분 내로 주차하시는 분도 계시지만 매우 혼잡하고 CCTV 있어요.",빵이 맛있어요,특별한 메뉴가 있어요,친절해요,5,14,0,78,34,6
슬로우벗베럴 대구점,대구 동구 신평로 113,"영업 중 21:30에 라스트오더 21시 30분에 라스트오더, 매일 10:30 - 22:00 21:30 라스트오더 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240301_109%2F1709232351248ngbns_JPEG%2F1667695213384.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240713_99%2F1720798933918XY9JO_JPEG%2F%25BB%25A7_%25C0%25BD%25B7%25E1_%25BD%25C3%25B8%25AE%25C1%25EE_3.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240713_134%2F1720799105095vYnsa_JPEG%2F%25BB%25A7_%25BD%25C3%25B8%25AE%25C1%25EE.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240301_53%2F1709231714196Iy2IS_JPEG%2F1700801296276.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240301_267%2F170923164545446vRo_JPEG%2F1709231566950.jpg""","""https://www.instagram.com/slow_but_better_official""","주차가능 무료, 카페 안쪽, 100대 가량 주차 가능한 대형주차장을 구비하고 있으며, 주차는 무료입니다",커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,940,1163,60,3696,1658,111
솔트,대구 동구 신평로 49 솔트,"영업 중 22:00에 영업 종료 22시 0분에 영업 종료, 매일 11:00 - 22:00 접기",4.38,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200121_148%2F1579592015689pgbtr_JPEG%2FcBWXvlrJevYQlDVMBWmIKQI1.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200121_256%2F1579592004700fEMpJ_JPEG%2FbBGwDRwH-fwgqtVgIMw_H4Xu.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200123_23%2F1579705995126h4hHn_JPEG%2Fngrq5bS2Eg8mbgUG8YcP2gPn.jpeg.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200927_226%2F1601132991618uW9DS_JPEG%2Fy-wat14qKCeiO4k_aRoxh9Dv.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200927_257%2F1601133024595WTYNw_JPEG%2FZX0eDqzTJepl7LpTcLA6PgXs.jpg""",링크 없음,"주차가능, 주차장 정보 없음",커피가 맛있어요,친절해요,매장이 청결해요,7,7,0,39,15,9
카페누리 용계점,대구 동구 동촌로 325 대한노인회 대구 동구지회,운영 시간 정보 없음,평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzAxMTFfMTEg%2FMDAxNjczNDE3NDE2NjIy.bhX1InmTDNQLLzl0zIbAInSJBDmViiaNrFvcGX1b_wQg.esrMDNLDhde0SCvrrDTaraQEunZj4Mx48ZTPOvpYE-og.JPEG%2F20230111_150437.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzAxMTFfOSAg%2FMDAxNjczNDE3NDE4MjU5.3wTXY0QOZLBfTYhn2xYjwL0gF4lMgm9tT4dAJ9__J58g.0kcx7tO3CYscHA_oczYiVjZiyL5kkkYBjtY3-_OHTV8g.JPEG%2F20230111_150355.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzAxMTFfNTkg%2FMDAxNjczNDE4Nzg5MzQ2.TY0HQ7FVmejNHSQkA1r3VvvM3KD6vlTKgc9qlGSzv9kg.YEOtcKRKFBMK9cGybTNw7Pe2urGygMiGnELOiav1Ifkg.JPEG%2F20230111_151626.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzAxMTFfNzMg%2FMDAxNjczNDE3NDE3MDQy.52Llz7hCMwJGucc0O5jnX9Eq7ZZXwuRL01v5UkPnz5og.7NbTQsGggERnXIHjqkL9AkxwYMcvW3YVAD0pWvvgN68g.JPEG%2F20230111_150127.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzAxMTFfMTk1%2FMDAxNjczNDE4Nzg4OTcw.j7dUo7-07J9lnYkoNYjvL2YnppZn1OuGWeXfx4os3lgg.JMeZvcrSH7XBx_JMquARlc6ZoRR8WsaAZgmC0qa9p6Ig.JPEG%2F20230111_151602.jpg""",링크 없음,알 수 없음,커피가 맛있어요,친절해요,가성비가 좋아요,0,0,0,0,0,0
마고플레인비스타,대구 동구 혁신대로 104,"영업 중 23:00에 영업 종료 23시 0분에 영업 종료, 매일 08:00 - 23:00 접기",4.51,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210520_290%2F1621515757352GxHwR_JPEG%2FmqdO7sA2DkJHD_OEy5Py_CEF.JPG.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211018_64%2F16345237266711NPCE_JPEG%2FI_h5KaWLXMRdjYQZv1oSUu4k.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211018_86%2F1634523726786YBNz1_JPEG%2FEctZE_wbWP_idWHMumd9-LSF.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211018_293%2F1634523726811jxrdu_JPEG%2FudPQIdZ97gOHb2hA-iVFvmgt.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211018_169%2F16345237268042Xdm8_JPEG%2F01ecP9u8pYRZsubqNX9zaa25.jpg""",링크 없음,"주차가능, 주차장 정보 없음",디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,286,42,1,514,185,68
아라비카 스튜디오 로스터즈,대구 동구 율하동로23길 46-1 1층 아라비카스튜디오 로스터즈,"영업 중 20:30에 라스트오더 20시 30분에 라스트오더, 매일 11:00 - 21:00 20:30 라스트오더 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240613_153%2F1718267407774v58BP_JPEG%2FIMG_3071.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240806_279%2F1722945482022rYcv4_JPEG%2FIMG_9032.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240623_190%2F1719152566175Cz4NJ_JPEG%2F0090.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240613_18%2F1718267407360MWWoC_JPEG%2FIMG_3076.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240602_99%2F1717327187983h47YD_JPEG%2F%25C1%25A6%25B8%25F1_%25BE%25F8%25C0%25BD-2_%25281%2529.JPG""",링크 없음,"주차가능 무료, 주차공간이 협소하여 길가에 주차를 하셔도 괜찮으세요 :)",커피가 맛있어요,인테리어가 멋져요,친절해요,3,17,1,171,84,26
레커커피,대구 동구 둔산로 5 1층 레커커피,"영업 중 22:00에 영업 종료 22시 0분에 영업 종료, 매일 11:00 - 22:00, - 레커커피는 연중무휴입니다,참고하시기 바랍니다. 접기",4.58,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240820_137%2F1724140981632HD04k_JPEG%2F%25C7%25C3%25B7%25CE%25BE%25EE_%25BE%25D5%25BB%25E7%25C1%25F8.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240820_143%2F1724142053244X5SBp_JPEG%2F%25BF%25DC%25BA%25CE%25BB%25E7%25C1%25F81.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200617_71%2F1592394347777jklFu_JPEG%2FGoI_IPLXpgalOFd7IoyFq7Ej.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240820_166%2F17241409859706jeRR_JPEG%2F%25C7%25C7%25C4%25AD.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240820_182%2F1724140989700p5Sri_JPEG%2F%25C8%25AD%25BA%25D0%25C4%25C9.jpg""","""http://instagram.com/lek_ker_""","주차 불가, 인근 공원길에 주차하시면 됩니다!",커피가 맛있어요,음료가 맛있어요,친절해요,7,3,0,70,12,11
아웃스탠딩커피 혜진점,대구 동구 화랑로88길 42 1층 아웃스탠딩커피 혜진점,"영업 중 20:00에 영업 종료 20시 0분에 영업 종료, 월 10:00 - 20:00, 화 정기휴무 (매주 화요일), 수 10:00 - 20:00, 목 10:00 - 20:00, 금 10:00 - 18:00, 토 10:00 - 18:00, 일 10:00 - 18:00, - 매주 금요일은 아웃스탠딩커피_랩 모임으로 단축영업합니다 접기",4.74,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230927_172%2F1695781871612BfH3Q_JPEG%2FIMG_3310.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230927_248%2F1695781872369cne50_JPEG%2FIMG_1255.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230927_169%2F169578187200167x44_JPEG%2FIMG_1428.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231220_204%2F1703041794833V8id7_JPEG%2FIMG_8253.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231220_286%2F17030417948420G4L7_JPEG%2FIMG_8257.jpeg""","""https://blog.naver.com/outstanding_coffee, http://instagram.com/out_standing_coffee_hyejin""","주차 불가, 주차장 정보 없음",커피가 맛있어요,친절해요,매장이 청결해요,10,1,0,34,7,6
하녹90,대구 동구 율암로 156-13 하녹90,"영업 중 22:00에 영업 종료 22시 0분에 영업 종료, 월 09:00 - 22:00, 화 09:00 - 22:00, 수 09:00 - 22:00, 목 09:00 - 22:00, 금 09:00 - 22:00, 토 09:00 - 23:00, 일 09:00 - 22:00 접기",4.51,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230204_30%2F16754874492213rvMa_JPEG%2F43FDFBC0-1460-4943-8CFF-52185E36A38C.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230204_86%2F1675487449506nGr9B_JPEG%2F57622D6E-270A-4049-B214-FD06EB98A457.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230204_59%2F1675487449604GSUTy_JPEG%2F8BD7C745-8EF5-4F2C-8C72-C1DD8F4711DF.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230204_37%2F1675487449651yxfWy_JPEG%2F38825C42-C5C5-4977-8BB4-F1244C872CF5.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230204_107%2F1675487451509aVvmA_JPEG%2F537D4311-5D41-4D04-8C0F-AF3AA896459A.jpeg""",링크 없음,"주차가능, 주차장 정보 없음",,,,0,0,0,0,0,0
숲베이커리,대구 수성구 팔현길 136,"영업 중 18:00에 영업 종료 18시 0분에 영업 종료, 월 09:00 - 18:00, 화 09:00 - 18:00, 수 09:00 - 18:00, 목 09:00 - 18:00, 금 09:00 - 18:00, 토 정기휴무 (매주 토요일), 일 정기휴무 (매주 일요일) 접기",4.5,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181001_180%2F1538356385522dC5S7_JPEG%2FmonnWGwHo1jnC48yTiEiFrss.JPG.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181001_171%2F1538356401680t1DEv_JPEG%2Fnl8uvO6jKRIQZtgliR9tqF_M.JPG.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181001_234%2F1538356445723tTibU_JPEG%2FMYVdfP8gQ296eZi-HC2aezxY.JPG.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA0MjhfMTg0%2FMDAxNjgyNjgyODIzMDEz.v-gS-f31Y8E-qyuFL6TNbAHyfOu44YjR1Tkz3UrI9BAg.sA0OKbptO3IPyTB9Jji3wVUZUGGmeiSdUsG5c3DRkfUg.JPEG%2F20230404_152008.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA0MjhfMTM2%2FMDAxNjgyNjgyODIyNzU2.zBnILOY_hxDxQ0M1OJjuW2AmNre5JgqrwoJ6L_m805Ag.W2gka7Tvn8ZtwU0rgrkl96f44r5zN-hjZWpSVoSsY_Eg.JPEG%2F20230404_152005.jpg""","""https://blog.naver.com/forestbakery, http://forest2013.org/, http://www.instagram.com/forest_bakery""","주차 불가, 주차장 정보 없음",,,,0,0,0,0,0,0
폴 바셋 대구 방촌 DT점 (화랑로),대구 동구 화랑로 354,"영업 중 21:30에 영업 종료 21시 30분에 영업 종료, 월 07:30 - 21:30, 화 07:30 - 21:30, 수 07:30 - 21:30, 목 07:30 - 21:30, 금 07:30 - 21:30, 토 08:00 - 21:30, 일 08:00 - 21:30 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230523_279%2F1684816146811poO9g_JPEG%2F%25B4%25D9%25BF%25EE%25B7%25CE%25B5%25E5.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230523_260%2F1684816149758HxDWx_JPEG%2F%25B4%25D9%25BF%25EE%25B7%25CE%25B5%25E5_%25281%2529.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230523_230%2F1684816152588aHRfC_JPEG%2F%25B4%25D9%25BF%25EE%25B7%25CE%25B5%25E5_%25282%2529.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA2MDNfMjk5%2FMDAxNjg1NzgwMzIxMzcz.Ltzkg0llCTwIVO2I7dJYISMTpdpSULqukb_jOzROBKcg.WlG2Rntg7pioducpAyC4zGAG22VFjZn-VChOslythxgg.JPEG%2F1685779811903.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA2MDFfMjE0%2FMDAxNjg1NTk0Nzk1ODA2.ByK_-o_Uzol-j3AS68iW18VFXf_nXmSwKBjGDuPojMwg.HeT8fabbFvua9XVgDCA9SpJle76AZVt7xWWwZusaPpEg.JPEG%2F20230601_134155.jpg""","""https://www.baristapaulbassett.co.kr/Index.pb, https://www.instagram.com/paulbassettkorea/""","주차가능, 주차장 정보 없음",,,,0,0,0,0,0,0
빵장수단팥빵 반야월점,대구 동구 율하서로 16,"영업 중 22:00에 영업 종료 22시 0분에 영업 종료, 매일 08:00 - 22:00 접기",4.33,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160715_186%2F1468572740301WVceR_JPEG%2F176665578239221_0.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160715_124%2F1468572740403XNXQ5_JPEG%2F176665578239221_1.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160715_97%2F1468572740531MLm0c_JPEG%2F176665578239221_2.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160715_282%2F1468572740631eQc5t_JPEG%2F176665578239221_3.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160715_69%2F1468572740705rmoYq_JPEG%2F176665578239221_4.jpeg""",링크 없음,알 수 없음,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,1,0,0,10,3,3
주아르,대구 동구 동촌로56길 32 1층,"영업 중 18:00에 영업 종료 18시 0분에 영업 종료, 월 11:00 - 18:00, 화 11:00 - 18:00, 수 11:00 - 18:00, 목 11:00 - 18:00, 금 11:00 - 18:00, 토 12:00 - 17:00, 일 정기휴무 (매주 일요일), - 매주 일요일 휴무 / 영업시간 외 무인픽업 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240326_117%2F1711382638073NNYfF_PNG%2F%25BD%25BA%25C5%25A9%25B8%25B0%25BC%25A6_2024-03-26_%25BF%25C0%25C0%25FC_12.35.38.png, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240326_220%2F1711382637650KLxXC_PNG%2F%25BD%25BA%25C5%25A9%25B8%25B0%25BC%25A6_2024-03-26_%25BF%25C0%25C0%25FC_12.27.39.png, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240326_30%2F1711382638145947bh_PNG%2F%25BD%25BA%25C5%25A9%25B8%25B0%25BC%25A6_2024-03-26_%25BF%25C0%25C0%25FC_12.32.11.png, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240326_46%2F1711382638161biAl1_PNG%2F%25BD%25BA%25C5%25A9%25B8%25B0%25BC%25A6_2024-03-26_%25BF%25C0%25C0%25FC_12.33.29.png, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240326_220%2F1711382638155Au1X4_PNG%2F%25BD%25BA%25C5%25A9%25B8%25B0%25BC%25A6_2024-03-26_%25BF%25C0%25C0%25FC_12.33.18.png""","""https://www.instagram.com/sweet_juarre, https://blog.naver.com/juarre_sweet, https://http//pf.kakao.com/_xoUhxbxj""","주차가능 무료, 주차장 정보 없음",디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,1,1,0,5,3,2
